_id,ltable_ID,rtable_ID,ltable_Title,ltable_Developer,ltable_Publisher,ltable_Platform,ltable_Genre,ltable_Rating,ltable_ReleaseDate,ltable_CleanRDate,rtable_Title,rtable_Developer,rtable_Publisher,rtable_Platform,rtable_Genre,rtable_Rating,rtable_ReleaseDate,rtable_CleanRDate,Prediction
2260,a215,b274,Alien Soldier,Treasure|Sega,Sega,Genesis|PC,2D|Platformer|Action,7.5,5 Nov 2007,2007-11-05,Alien Soldier,Treasure,Sega,PC|Sega Mega Drive/Genesis,,8.1,1995,1995-01-01,1.0
2261,a2156,b2192,Earth Defense Force 2017,Sandlot,D3Publisher,Xbox 360,Third-Person|3D|Action|Shooter,7.5,20 Mar 2007,2007-03-20,Earth Defense Force 2017,Sandlot,D3 Publisher,PlayStation Vita|Xbox 360,Third-Person|Shooter,7.2,20 March 2007,2007-03-20,1.0
2263,a2157,b2193,Earth Defense Force 2025,Sandlot,D3Publisher|Bandai Namco Games,PlayStation 3|Xbox 360,Action|Shooter|Third-Person|3D,7.2,18 Feb 2014,2014-02-18,Earth Defense Force 2025,Sandlot,D3 Publisher,PlayStation 3|Xbox 360,Third-Person|Shooter,7.4,18 February 2014,2014-02-18,1.0
2264,a2158,b2195,Earth Defense Force: Insect Armageddon,Vicious Cycle,D3Publisher|Namco Bandai Games,PC|PlayStation 3|Xbox 360,3D|Action|Shooter|Third-Person,7.3,1 Jul 2011,2011-07-01,Earth Defense Force: Insect Armageddon,Vicious Cycle Software,D3 Publisher,PC|PlayStation 3|Xbox 360,Third-Person Shooter,6.8,05 July 2011,2011-07-05,1.0
2268,a2161,b2198,Earthworm Jim 2,Super Empire|Shiny Entertainment|Rainbow Arts|Screaming Pink,Sierra Entertainment|Majesco Games|Playmates|Interplay|Tec Toy|Virgin Interactive|Sega|Funsoft|Takara,Game Boy Advance|Genesis|PC|Saturn|Super Nintendo,2D|Action|Platformer,8.0,November 1995,1995-11-01,Earthworm Jim 2,Shiny Entertainment|Screaming Pink (Sega Saturn|PlayStation),NA: Playmates Interactive Entertainment|EU: Virgin Interactive,Game Boy Advance|PC|PlayStation|Sega Mega Drive/Genesis|Super Nintendo,Platform,8.3,1996,1996-01-01,1.0
2269,a2162,b2199,Earthworm Jim 3D,VIS Entertainment,Interplay|Rockstar Games|Frogster Interactive,Nintendo 64|PC,3D|Action|Platformer,6.5,31 Oct 1999,1999-10-31,Earthworm Jim 3D,VIS Entertainment,PAL: Interplay|NA: Rockstar Games,Nintendo 64|PC,Platformer,6.2,31 October 1999,1999-10-31,1.0
2270,a2163,b2197,Earthworm Jim,Gameloft|Eurocom Entertainment Software|Game Titan|Shiny Entertainment|Kinesoft,Gameloft|Playmates|Majesco Games|Interplay|Virgin Interactive|Sega|Tec Toy|Activision|Takara|Microsoft Game Studios,BlackBerry|DS|Game Boy|Game Boy Advance|GameGear|Genesis|iOS (iPhone/iPad)|PC|PlayStation 3|Sega Master System|Super Nintendo|Windows Mobile|Xbox 360,2D|Action|Platformer,8.1,9 Jun 1994,1994-06-09,Earthworm Jim,Shiny Entertainment|Playmates Interactive Entertainment,NA: Sega of America|EU: Virgin Interactive,Game Boy Advance|PC|Sega CD|Sega Mega Drive/Genesis|Super Nintendo,Platform|shoot 'em up,7.2,02 August 1994,1994-08-02,1.0
2273,a2165,b2202,Eat Lead: The Return of Matt Hazard,Vicious Cycle,D3Publisher,PlayStation 3|Xbox 360,Shooter|Third-Person|3D|Action,6.3,26 Feb 2009,2009-02-26,Eat Lead: The Return of Matt Hazard,Vicious Cycle Software,D3 Publisher,PlayStation 3|Xbox 360,Third-Person|Shooter,5.6,26 February 2009,2009-02-26,1.0
2275,a2167,b2203,Ecco Jr.,Novotrade|Sega,Sega,Genesis|PC,Action|2D|Platformer,6.4,15 Aug 1995,1995-08-15,Ecco Jr.,Appaloosa Interactive,Sega,PC|PlayStation 2|Sega Mega Drive/Genesis,Adventure,5.2,15 August 1995,1995-08-15,1.0
2276,a2169,b2205,Ecco the Dolphin,M2|Novotrade|Sega|Backbone Entertainment,Sega|Tec Toy|Samsung,3DS|GameGear|Genesis|iOS (iPhone/iPad)|PC|Sega CD|Sega Master System|Xbox 360,2D|Platformer|Action,7.4,29 Jul 1993,1993-07-29,Ecco the Dolphin,Novotrade International,Sega,PC|Sega Mega Drive/Genesis,Adventure,7.6,29 July 1992,1992-07-29,1.0
2279,a2170,b2204,Ecco: The Tides of Time,Novotrade|Sega,Sega|Tec Toy,GameGear|Genesis|PC|Sega CD|Sega Master System,Action|2D|Platformer,7.8,25 Aug 1994,1994-08-25,Ecco: The Tides of Time,Novotrade International,Sega,PlayStation 2|Sega Mega Drive/Genesis,Adventure,8.5,25 August 1994,1994-08-25,1.0
2282,a2172,b2184,ECHO (2017),Ultra Ultra,Ultra Ultra|Ultra Ultra APS,PC|PlayStation 4,Adventure|Action,6.8,19 Sep 2017,2017-09-19,ECHO (2017),Ultra Ultra,Ultra Ultra,PC,Action|Adventure,7.0,19 September 2017,2017-09-19,1.0
2284,a2173,b2206,Echo Night,From Software,From Software|Agetec Inc.|SCEA,PlayStation,First-Person|Adventure|3D,7.8,31 Jul 1999,1999-07-31,Echo Night,From Software,Agetec,PlayStation,Action|Adventure,6.9,31 July 1999,1999-07-31,1.0
2289,a2176,b2208,echochrome,SCE Japan Studio|SCE/WWS,SCE Australia|SCEI|SCEA|SCEE|SCE Korea,PlayStation 3|PSP,Action|Puzzle,7.7,1 May 2008,2008-05-01,Echochrome,Game Yarouze|Japan Studio,Sony Computer Entertainment,PlayStation 3|PSP,Puzzle,6.0,01 May 2008,2008-05-01,1.0
2291,a218,b278,Alien Trilogy,Probe Entertainment Limited,Acclaim|Acclaim Japan|Tec Toy,PC|PlayStation|Saturn,First-Person|Shooter|3D|Action,6.9,February 1996,1996-02-01,Alien Trilogy,Probe Entertainment|Sculptured Software,Acclaim Entertainment|Fox Interactive,PlayStation|Sega Saturn,First-Person Shooter,6.9,31 December 1995,1995-12-31,1.0
2295,a2182,b2211,Edge,Two Tribes|MForma Europe Limited|Mobigame,Two Tribes|Rainy Frog|MForma Europe Limited|Mobigame,3DS|BlackBerry|iOS (iPhone/iPad)|Linux|Macintosh|PC|PSP|Wii U,Puzzle,7.4,24 Dec 2008,2008-12-24,Edge,Mobigame,Mobigame,Android|iOS|Linux|Nintendo 3DS|PC|Wii U,Puzzle,6.8,December 2008,2008-12-01,1.0
2296,a2183,b2214,Eets,Klei Entertainment,Klei Entertainment,Macintosh|PC|Xbox 360,Action|Platformer|2D,7.4,29 Mar 2006,2006-03-29,Eets,Klei Entertainment,,PC|Xbox 360,Puzzle,6.4,27 March 2006,2006-03-27,1.0
2298,a2187,b2217,Ehrgeiz,DreamFactory,Namco|SquareSoft|Square EA|Square Enix,Arcade Games|PlayStation,Fighting|3D|Action,7.2,1998,1998-01-01,Ehrgeiz,DreamFactory,Square Enix|Namco|Electronic Arts,PlayStation,Fighting,6.3,04 May 1999,1999-05-04,1.0
2299,a2188,b2219,Einhander,SquareSoft,SCEA|SquareSoft|Square Enix,PlayStation,Shoot-'Em-Up|Action|2D,8.7,5 May 1998,1998-05-05,Einhander,Square,JP: Square|NA: Sony Computer Entertainment,PlayStation,Scrolling shooter,7.7,30 April 1998,1998-04-30,1.0
2300,a2189,b2220,El Matador,Plastic Reality,Cenega Publishing|Excalibur Publishing Limited|Red Mile Entertainment|1C,PC,Third-Person|3D|Action|Shooter,6.7,29 Sep 2006,2006-09-29,El Matador,Plastic Reality Technologies,Cenega Publishing,PC,Action|Shooter,5.8,29 September 2006,2006-09-29,1.0
2301,a219,b282,Alienation,Housemarque,Sony Interactive Entertainment|SCEA,PlayStation 4,Action|Shooter|Third-Person|3D,7.9,26 Apr 2016,2016-04-26,Alienation,,Sony Interactive Entertainment America,PlayStation 4,Action|Shooter,7.7,26 April 2016,2016-04-26,1.0
2302,a2190,b2221,El Shaddai: Ascension of the Metatron,Ignition Entertainment,Ignition Entertainment,PlayStation 3|Xbox 360,Action|Adventure,7.3,16 Aug 2011,2011-08-16,El Shaddai: Ascension of the Metatron,Ignition Entertainment,Ignition Entertainment,PlayStation 3|Xbox 360,Action,6.8,16 August 2011,2011-08-16,1.0
2303,a2192,b2224,Elebits,Konami,Konami,Wii,Action,7.7,12 Dec 2006,2006-12-12,Elebits,Konami Digital Entertainment,Konami,Wii,Action,6.9,12 December 2006,2006-12-12,1.0
2304,a2193,b2228,Electroplankton,Indies Zero,Nintendo,DS,Music/Rhythm,8.0,9 Jan 2006,2006-01-09,Electroplankton,indieszero,Nintendo,Nintendo DS,Music,6.6,09 January 2006,2006-01-09,1.0
2308,a220,b283,Aliens: Colonial Marines,Gearbox Software,Sega,PC|PlayStation 3|Xbox 360,First-Person|Shooter|3D|Action,5.1,11 Feb 2013,2013-02-11,Aliens: Colonial Marines,Gearbox Software,Sega,PC|PlayStation 3|Xbox 360,First-Person|Shooter,4.8,12 February 2013,2013-02-12,1.0
2312,a2204,b2234,Elite Beat Agents,iNiS,Nintendo,DS,Music/Rhythm,8.8,6 Nov 2006,2006-11-06,Elite Beat Agents,iNiS,Nintendo,Nintendo DS,Music/Rhythm,8.0,06 November 2006,2006-11-06,1.0
2313,a2205,b2235,Elite: Dangerous,Frontier Developments,Frontier Developments|Sold Out,Macintosh|PC|PlayStation 4|Xbox One,Simulation,7.5,16 Dec 2014,2014-12-16,Elite: Dangerous,Frontier Developments,,PC,Adventure,7.4,2014,2014-01-01,1.0
2317,a221,b285,Aliens: Infestation,Gearbox Software|WayForward,Sega,DS,Action|2D|Platformer,7.5,11 Oct 2011,2011-10-11,Aliens: Infestation,Gearbox Software LLC|WayForward Technologies,Sega,Nintendo 3DS|Nintendo DS,Action,7.4,11 October 2011,2011-10-11,1.0
2320,a2216,b2243,Emperor: Battle for Dune,Westwood Studios,EA Games|Electronic Arts,PC,Real-Time|Strategy,8.5,12 Jun 2001,2001-06-12,Emperor: Battle for Dune,Intelligent Games|Westwood Studios,EA Games,PC,Real-Time|Strategy,6.8,2001,2001-01-01,1.0
2323,a2219,b2245,Empire Earth II,Mad Doc Software,VU Games|Sierra Entertainment,PC,Strategy|Real-Time,7.9,26 Apr 2005,2005-04-26,Empire Earth II,Mad Doc Software,Vivendi Universal,PC,Real-time strategy,7.2,26 April 2005,2005-04-26,1.0
2328,a2222,b2244,Empire Earth,Stainless Steel Studios,Capcom|Sierra Entertainment|ak tronic|Sold Out Software,PC,Real-Time|Strategy,8.2,12 Nov 2001,2001-11-12,Empire Earth,Stainless Steel Studios,Sierra Entertainment,PC,Real-time strategy,7.6,12 November 2001,2001-11-12,1.0
2332,a2225,b2247,Empire: Total War,Feral Interactive|Creative Assembly,Feral Interactive|Sega|Zoo Publishing|Inc.|Avanquest Software,Linux|Macintosh|PC,Strategy|Real-Time,8.2,3 Mar 2009,2009-03-03,Empire: Total War,The Creative Assembly,Sega,PC,Turn-based strategy Real-time tactics,7.4,03 March 2009,2009-03-03,1.0
2335,a2227,b2250,Enchanted Arms,From Software,Ubisoft|From Software,PlayStation 3|Xbox 360,Role-Playing,7.5,29 Aug 2006,2006-08-29,Enchanted Arms,From Software,From Software|Ubisoft,PlayStation 3|Xbox 360,Role-Playing,6.6,29 August 2006,2006-08-29,1.0
2336,a2228,b2251,Enclave,Starbreeze,TopWare Interactive|VU Games|Conspiracy Entertainment|Swing! Deutschland,Linux|Macintosh|PC|Xbox,Action|Adventure,7.5,29 Jul 2002,2002-07-29,Enclave,Starbreeze Studios|Village1 Entertainment,Swing! Deutschland|Conspiracy Games|Vivendi Universal Games,PC|Xbox,Action,6.8,29 July 2002,2002-07-29,1.0
2338,a2230,b2254,Endless Ocean: Blue World,Arika,Nintendo,Wii,3D|Third-Person|Adventure,8.3,22 Feb 2010,2010-02-22,Endless Ocean 2: Adventures of the Deep,Arika,Nintendo,Wii,Adventure|Simulation,8.3,22 February 2010,2010-02-22,1.0
2340,a2232,b2257,Endless Space 2,Amplitude Studios,Sega|Amplitude Studios,Macintosh|PC,Turn-Based|Strategy,7.6,6 Oct 2016,2016-10-06,Endless Space 2,AMPLITUDE Studios,SEGA,PC,Strategy,7.0,06 October 2016,2016-10-06,1.0
2342,a2233,b2256,Endless Space,Amplitude Studios,Iceberg Interactive|Amplitude Studios,Macintosh|PC,Turn-Based|Strategy,7.4,4 Jul 2012,2012-07-04,Endless Space,Amplitude Studios,Iceberg Interactive,PC,Strategy,7.4,04 July 2012,2012-07-04,1.0
2344,a2237,b2258,Enemy Front,CI Games,CI Games,PC|PlayStation 3|Xbox 360,Tactical|Action|First-Person|Shooter,6.2,31 Dec 2015,2015-12-31,Enemy Front,CI Games,Bandai Namco Games,PC|PlayStation 3|Xbox 360,First-Person|Shooter,5.7,10 June 2014,2014-06-10,1.0
2345,a2240,b2260,Enemy Territory: Quake Wars,Splash Damage|Z-Axis|Ltd.|Nerve Software,id Software|Activision,Linux|Macintosh|PC|PlayStation 3|Xbox 360,3D|Action|First-Person|Shooter,7.4,2 Oct 2007,2007-10-02,Enemy Territory: Quake Wars,Splash Damage|Nerve Software (Xbox 360)|Underground Development (PlayStation 3),Activision,PC|Xbox 360,First-person shooter,7.8,02 October 2007,2007-10-02,1.0
2346,a2243,b2266,Enslaved: Odyssey to the West,Ninja Theory,Namco Bandai Games|Bandai Namco Games,PC|PlayStation 3|Xbox 360,Action|Adventure,8.2,5 Oct 2010,2010-10-05,Enslaved: Odyssey to the West,Ninja Theory,Namco Bandai Games,PC|PlayStation 3|PlayStation Now|Xbox 360,Action|Adventure|Tactical,7.8,05 October 2010,2010-10-05,1.0
2348,a2244,b2268,Enter the Gungeon,Dodge Roll,Devolver Digital|Dodge Roll|GHI Media|LLC,Linux|Macintosh|Nintendo Switch|PC|PlayStation 4|Xbox One,Action,8.0,5 Apr 2016,2016-04-05,Enter the Gungeon,Dodge Roll,Devolver Digital,Nintendo Switch|PC|PlayStation 4,Roguelike,7.9,05 April 2016,2016-04-05,1.0
2349,a2245,b2269,Enter the Matrix,Shiny Entertainment,Atari SA|Bandai,GameCube|PC|PlayStation 2|Xbox,Action|Adventure,7.0,14 May 2003,2003-05-14,Enter the Matrix,Shiny Entertainment,Atari|Inc.|Warner Bros. Interactive Entertainment Bandai (Japanese release),Nintendo GameCube|PC|PlayStation 2|Xbox,Action-adventure,5.8,14 May 2003,2003-05-14,1.0
2351,a2248,b2270,Entwined,PixelPlus,SCE Australia|SCEI|SCEE|SCEA,PlayStation 3|PlayStation 4|PlayStation Vita,Action|Arcade,6.7,9 Jun 2014,2014-06-09,Entwined,Pixelopus,Sony Computer Entertainment,PlayStation 3|PlayStation 4|PlayStation Vita,Action|Music/Rhythm,6.1,09 June 2014,2014-06-09,1.0
2356,a2254,b2280,Eragon,Amaze Entertainment|Kaolink|Stormfront Studios,Sierra Entertainment|Vivendi Universal Games Mobile|Vivendi Games,DS|Game Boy Advance|Mobile|PC|PlayStation 2|PSP|Xbox|Xbox 360,Adventure|Action,5.8,14 Nov 2006,2006-11-14,Eragon,Stormfront Studios|Amaze Entertainment,Vivendi Universal Games,Nintendo DS|PC|PlayStation 2|Xbox 360,Hack and slash|Action-adventure,4.8,14 November 2006,2006-11-14,1.0
2357,a2255,b2282,Escape Dead Island,Fatshark AB,Deep Silver,PC|PlayStation 3|Xbox 360,Survival|3D|Action|Adventure,5.1,18 Nov 2014,2014-11-18,Escape Dead Island,Fatshark,Deep Silver,PC|PlayStation 3|Xbox 360,Adventure|Survival Horror,5.5,18 November 2014,2014-11-18,1.0
2360,a2257,b2288,Escape from Monkey Island,LucasArts,Aspyr|LucasArts,Macintosh|PC|PlayStation 2,3D|Adventure|Third-Person,8.4,8 Nov 2000,2000-11-08,Escape from Monkey Island,LucasArts,LucasArts,PC|PlayStation 2,Point-and-Click|Adventure,6.9,06 November 2000,2000-11-06,1.0
2362,a2259,b2284,Escape Goat 2,MagicalTimeBean,Double Fine Productions|MagicalTimeBean,Linux|Macintosh|PC|PlayStation 4,2D|Action|Platformer,8.0,24 Mar 2014,2014-03-24,Escape Goat 2,MagicalTimeBean,Double Fine Productions,Linux|PC|PlayStation 4,Platform|Puzzle,8.0,24 March 2014,2014-03-24,1.0
2364,a226,b289,Aliens vs. Predator,Rebellion,Sega|Avanquest Software,PC|PlayStation 3|Xbox 360,First-Person|Shooter|3D|Action,7.3,16 Feb 2010,2010-02-16,Aliens vs. Predator (2010),Rebellion Developments,Sega,PC|PlayStation 3|Xbox 360,First-Person|Action|Survival Horror,6.8,16 February 2010,2010-02-16,1.0
2366,a2260,b2285,Escape Plan,Fun Bits,SCE Australia|SCEA|SCEE|SCEI,PlayStation 4|PlayStation Vita,Action|Puzzle,7.4,14 Feb 2012,2012-02-14,Escape Plan,Fun Bits Interactive,Sony Computer Entertainment,PlayStation 4|PlayStation Vita,Puzzle,6.7,22 February 2012,2012-02-22,1.0
2371,a2285,b2293,Eternal Champions,Sega interActive|Sega,Sega|Tec Toy|Samsung,Genesis|PC,2D|Fighting|Action,7.2,11 Dec 1993,1993-12-11,Eternal Champions,Sega Interactive Development Division,Sega,Sega Mega Drive/Genesis,Fighting,7.3,14 August 1993,1993-08-14,1.0
2372,a2286,b2294,Eternal Darkness: Sanity's Requiem,Silicon Knights,Nintendo,GameCube,Adventure|Survival|3D|Action,9.1,23 Jun 2002,2002-06-23,Eternal Darkness: Sanity's Requiem,Silicon Knights,Nintendo,Nintendo GameCube,Action-adventure,8.4,23 June 2002,2002-06-23,1.0
2373,a2287,b2295,Eternal Ring,From Software,From Software|Agetec Inc.|Ubisoft,PlayStation 2|PlayStation 4,Role-Playing,5.6,24 Oct 2000,2000-10-24,Eternal Ring,From Software,JP: From Software|NA: Agetec|EU: Ubisoft,PlayStation 2,Action|Role-Playing,6.4,16 October 2000,2000-10-16,1.0
2374,a2288,b2297,Eternal Sonata,Tri-Crescendo,Namco Bandai Games|Bandai Namco Games|Atari SA,PlayStation 3|Xbox 360,Role-Playing,8.3,17 Sep 2007,2007-09-17,Eternal Sonata,Tri-Crescendo,Namco Bandai Games,PlayStation 3|Xbox 360,Role-Playing,7.8,17 September 2007,2007-09-17,1.0
2375,a2289,b2301,Etherlords II,Nival Interactive,Nival Interactive|Strategy First|DreamCatcher Interactive,PC,Turn-Based|Strategy,8.2,30 Sep 2003,2003-09-30,Etherlords II,Nival Interactive,Fishtank Interactive|DreamCatcher Games|Strategy First,PC,Card battle|turn-based strategy|turn-based tactics,8.2,23 September 2003,2003-09-23,1.0
2376,a2290,b2300,Etherlords,Nival Interactive,Nival Interactive|Fishtank Interactive|DreamCatcher Interactive,iOS (iPhone/iPad)|PC,Strategy|Turn-Based,7.7,12 Nov 2001,2001-11-12,Etherlords,Nival Interactive,Fishtank Interactive|DreamCatcher Games|Strategy First,PC,Turn-Based|Strategy|Tactical,6.0,12 November 2001,2001-11-12,1.0
2378,a2291,b2302,Etrian Mystery Dungeon,Spike Chunsoft,NIS America|ATLUS,3DS,Role-Playing|Roguelike,7.8,7 Apr 2015,2015-04-07,Etrian Mystery Dungeon,Atlus,Atlus,Nintendo 3DS,Turn-Based|Role-Playing,7.8,07 April 2015,2015-04-07,1.0
2380,a2292,b2304,Etrian Odyssey 2 Untold: The Fafnir Knight,ATLUS,Nintendo|ATLUS|NIS America,3DS,Role-Playing,8.8,4 Aug 2015,2015-08-04,Etrian Odyssey 2 Untold: The Fafnir Knight,,Atlus,Nintendo 3DS,,8.3,04 August 2015,2015-08-04,1.0
2381,a2293,b2306,Etrian Odyssey II: Heroes of Lagaard,ATLUS,ATLUS,DS,Role-Playing,8.2,13 Jun 2008,2008-06-13,Etrian Odyssey II: Heroes of Lagaard,Atlus|Lancarse,Atlus,Nintendo DS,Role-playing,8.0,17 June 2008,2008-06-17,1.0
2382,a2294,b2305,Etrian Odyssey III: The Drowned City,ATLUS,ATLUS,DS,Role-Playing,8.1,21 Sep 2010,2010-09-21,Etrian Odyssey III: The Drowned City,Atlus,Atlus,Nintendo DS,Role-playing,7.8,21 September 2010,2010-09-21,1.0
2383,a2295,b2307,Etrian Odyssey IV: Legends of the Titan,ATLUS,ATLUS|NIS America,3DS,Role-Playing,8.2,26 Feb 2013,2013-02-26,Etrian Odyssey IV: Legends of the Titan,Atlus,Atlus,Nintendo 3DS,Role-Playing,8.4,26 February 2013,2013-02-26,1.0
2386,a2296,b2308,Etrian Odyssey Untold: The Millennium Girl,ATLUS,ATLUS|NIS America,3DS,Role-Playing,8.4,1 Oct 2013,2013-10-01,Etrian Odyssey Untold: The Millennium Girl,Atlus,Atlus,Nintendo 3DS,Role-Playing,8.1,01 October 2013,2013-10-01,1.0
2387,a2297,b2309,Etrian Odyssey V: Beyond the Myth,ATLUS,ATLUS|Deep Silver,3DS,Role-Playing,7.3,17 Oct 2017,2017-10-17,Etrian Odyssey V: Beyond the Myth,Atlus,Atlus,Nintendo 3DS,Role-Playing,8.1,2017,2017-01-01,1.0
2388,a2298,b2303,Etrian Odyssey,Lancarse|ATLUS,Nintendo|ATLUS,DS,Role-Playing,8.0,15 May 2007,2007-05-15,Etrian Odyssey,Atlus|Lancarse,Atlus|Nintendo (Europe and Australia),Nintendo DS,Role-Playing,7.5,15 May 2007,2007-05-15,1.0
2390,a2300,b2310,Eufloria,Omni Systems Limited|Alex May|Rudolf Kremers,Omni Systems Limited|Omni Systems|Alex May|Rudolf Kremers|Playism,Android|iOS (iPhone/iPad)|Linux|Macintosh|PC|PlayStation 3|PlayStation Vita,Strategy,7.7,4 Nov 2008,2008-11-04,Eufloria,Alex May|Rudolf Kremers,,Android|iOS|PC,Real-Time|Strategy,7.1,30 November 2009,2009-11-30,1.0
2392,a2308,b2313,Europa Universalis III,Paradox Development Studio,Paradox Interactive|GamersGate|CyberFront,PC,Strategy,8.3,23 Jan 2007,2007-01-23,Europa Universalis III,Paradox Interactive,Paradox Interactive,PC,Real-Time|Strategy,8.5,23 January 2007,2007-01-23,1.0
2393,a2309,b2314,Europa Universalis IV,Paradox Development Studio,Paradox Interactive|CyberFront|Ikaron,Linux|Macintosh|PC,Real-Time|Strategy,8.0,13 Aug 2013,2013-08-13,Europa Universalis IV,Paradox Development Studio,Paradox Interactive,PC,Strategy,8.9,13 August 2013,2013-08-13,1.0
2397,a2316,b2321,Ever Oasis,GREZZO,Nintendo,3DS,Action|Role-Playing,7.4,23 Jun 2017,2017-06-23,Ever Oasis,Grezzo,Nintendo,Nintendo 2DS|Nintendo 3DS,Third-Person|Real-Time|Action|Adventure|City-Building|Role-Playing,7.8,23 June 2017,2017-06-23,1.0
2398,a2319,b2322,Evergrace,From Software,Ubisoft|Agetec Inc.|From Software,PlayStation 2,Action|Role-Playing,5.4,24 Oct 2000,2000-10-24,Evergrace,From Software,JP: From Software|NA: Agetec|PAL: Ubisoft / Crave Entertainment,PlayStation 2,Action|Role-playing,5.3,16 October 2000,2000-10-16,1.0
2400,a2321,b2319,EverQuest II,Sony Online Entertainment,Sony Online Entertainment|Square Enix|Deep Silver|Ubisoft,PC,MMO|Role-Playing,7.7,8 Nov 2004,2004-11-08,EverQuest II,Sony Online Entertainment,Sony Online Entertainment,PC,Massively Multiplayer|Role-Playing,7.4,04 November 2004,2004-11-04,1.0
2402,a2332,b2326,Everybody's Gone to the Rapture,The Chinese Room,PlayStation Mobile Inc.|SCEE|SCEA|SCE Australia|SCEI,PC|PlayStation 4,First-Person|3D|Adventure,7.2,11 Aug 2015,2015-08-11,Everybody's Gone to the Rapture,The Chinese Room|SCE Santa Monica Studio,Sony Computer Entertainment,PC|PlayStation 4,First-Person|Adventure,6.8,11 August 2015,2015-08-11,1.0
2403,a2333,b2328,Everyday Shooter,Queasy Games|Backbone Entertainment,Queasy Games|SCE Australia|SCEE|SCEI|SCEA,PC|PlayStation 3|PSP,Shooter|2D|Action|Fixed-Screen,7.9,29 Mar 2006,2006-03-29,Everyday Shooter,Queasy Games,Sony Computer Entertainment,PC|PlayStation 3|PlayStation Vita,Shooter|Music,7.3,11 October 2007,2007-10-11,1.0
2406,a2336,b2331,Evil Dead: A Fistful of Boomstick,VIS Entertainment,THQ,PlayStation 2|Xbox,Adventure|Survival|3D|Action,7.2,20 May 2003,2003-05-20,Evil Dead: A Fistful of Boomstick,VIS Entertainment,THQ,PlayStation 2|Xbox,Action|Survival Horror,6.2,20 May 2003,2003-05-20,1.0
2407,a2337,b2332,Evil Dead: Hail to the King,Heavy Iron Studios,THQ,Dreamcast|PC|PlayStation,3D|Action|Adventure|Survival,5.8,5 Dec 2000,2000-12-05,Evil Dead: Hail to the King,Heavy Iron Studios,THQ,Dreamcast|PlayStation,Survival horror,4.4,04 December 2000,2000-12-04,1.0
2408,a2338,b2333,Evil Dead: Regeneration,THQ Wireless|Cranky Pants Games,THQ Wireless|THQ,Mobile|PC|PlayStation 2|Xbox,3D|Action|Adventure|Survival,7.7,13 Sep 2005,2005-09-13,Evil Dead: Regeneration,Cranky Pants Games,THQ,PC|PlayStation 2|Xbox,Action|Survival horror,7.2,13 September 2005,2005-09-13,1.0
2409,a2339,b2334,Evil Genius,Elixir Studios,VU Games|Rebellion,PC,Real-Time|Strategy,8.3,28 Sep 2004,2004-09-28,Evil Genius,Elixir Studios,Sierra Entertainment (2004-2006)|Rebellion Developments (2006-present),PC,Real-Time|Strategy,7.3,28 September 2004,2004-09-28,1.0
2414,a2348,b2341,Evolva,Computer Artworks,Sold Out Software|Virgin Interactive|Interplay,PC,Action,7.4,1 Jun 2000,2000-06-01,Evolva,Computer Artworks Ltd.,Interplay Entertainment,PC,Action,7.0,01 June 2000,2000-06-01,1.0
2415,a2349,b2342,Evolve,Turtle Rock Studios,2K Games|Kaga Create,PC|PlayStation 4|Xbox One,Shooter|Action|3D|First-Person,6.1,9 Feb 2015,2015-02-09,Evolve,Turtle Rock Studios,2K Games,PC|PlayStation 4|Xbox One,First-Person|Shooter,6.2,10 February 2015,2015-02-10,1.0
2416,a2351,b2343,Excite Truck,Monster Games Inc.,Nintendo,Wii,Driving/Racing|Arcade,7.9,19 Nov 2006,2006-11-19,Excite Truck,Monster Games,Nintendo,Wii,Racing,7.8,19 November 2006,2006-11-19,1.0
2417,a2352,b2345,Excitebike 64,Left Field Productions,Nintendo,Nintendo 64,Driving/Racing|Arcade,8.3,30 Apr 2000,2000-04-30,Excitebike 64,Left Field Productions,Nintendo,Nintendo 64,,7.8,30 April 2000,2000-04-30,1.0
2418,a2353,b2344,Excitebike,Arika|Nintendo|Pax Softonica|Hudson,Nintendo|Hudson|Hamster,3DS|Arcade Games|e-Reader|Famicom Disk System|Game Boy Advance|NEC PC88|NES|Nintendo Switch|Sharp X1,Arcade|Driving/Racing,8.0,1984,1984-01-01,Excitebike,Nintendo R&amp;D1,Nintendo,NES|Nintendo 3DS|Wii,Racing,6.7,18 October 1985,1985-10-18,1.0
2419,a2354,b2346,Excitebots: Trick Racing,Monster Games Inc.,Nintendo,Wii,Arcade|Driving/Racing,8.4,20 Apr 2009,2009-04-20,Excitebots: Trick Racing,Monster Games|Nintendo SPD Group No.3,Nintendo,Wii,Racing,7.8,20 April 2009,2009-04-20,1.0
2421,a2360,b2349,Explodemon,Curve Studios,Curve Studios,PC|PlayStation 3,Platformer|2D|Action,6.7,8 Feb 2011,2011-02-08,Explodemon,Curve Studios,Curve Studios,PC,Platform,4.3,08 February 2011,2011-02-08,1.0
2422,a2361,b2350,Extermination,Deep Space,SCEA|SCEI|SCEE,PlayStation 2,Action|Adventure|Survival|3D,7.4,23 Jul 2001,2001-07-23,Extermination,Deep Space,Sony Computer Entertainment,PlayStation 2,Survival horror,5.8,23 June 2001,2001-06-23,1.0
